00001 John Doe             D 00424.80 SP
00002 Jane Smith           A 06787.99 SP
00003 Alex Lee             D 00199.50 NP
12345 User3                A 01000.00 NP
12346 Jane Smith           A 00499.90 NP
12347 Jane Smith           A 00499.90 NP
12348 Jane Smith           A 00499.90 NP
12349 Jane Smith           A 00499.90 NP
12350 Jane Smith           A 00499.90 NP
12351 Jane Smith           A 00499.90 NP
12352 Jane Smith           A 00499.90 NP
12353 Jane Smith           A 00499.90 NP
12354 Jane Smith           A 00499.90 NP
12355 Jane Smith           A 00499.90 NP
12356 Jane Smith           A 00499.90 NP
12357 Jane Smith           A 00499.90 NP
12358 Jane Smith           A 00499.90 NP
12359 Jane Smith           A 00499.90 NP
12360 Jane Smith           A 00499.90 NP
12361 Jane Smith           A 00499.90 NP
12362 Jane Smith           A 00499.90 NP
12363 Jane Smith           A 00499.90 NP
12364 User1                A 00199.90 NP
12365 EmptyAccount         A 00000.00 NP
12366 User1                A 00199.90 NP
12367 User1                A 00199.90 NP
12368 User1                A 00199.90 NP
12369 User1                A 00199.90 NP
12370 User1                A 00199.90 NP
12371 User1                A 00199.90 NP
12372 User1                A 00199.90 NP
12373 User1                A 00199.90 NP
12374 User1                A 00199.90 NP
12375 User1                A 00199.90 NP
12376 User1                A 00199.90 NP
12377 User1                A 00199.90 NP
12378 User1                A 00199.90 NP
12379 User1                A 00199.90 NP
12380 User1                A 00199.90 NP
12381 User1                A 00199.90 NP
12382 User1                A 00199.90 NP
12383 User1                A 00199.90 NP
12384 User1                A 00199.90 NP
12385 User1                A 00199.90 NP
12386 User1                A 00199.90 NP
12387 User1                A 00199.90 NP
12388 User1                A 00199.90 NP
12389 User1                A 00199.90 NP
12390 User1                A 00199.90 NP
12391 User1                A 00199.90 NP
12392 User1                A 00199.90 NP
12393 User1                A 00199.90 NP
12394 User1                A 00199.90 NP
12395 User1                A 00199.90 NP
12396 User1                A 00199.90 NP
12397 User1                A 00199.90 NP
12398 User1                A 00199.90 NP
12399 User1                A 00199.90 NP
12400 User1                A 00199.90 NP
12401 User1                A 00199.90 NP
12402 User1                A 00199.90 NP
12403 User1                A 00199.90 NP
12404 User1                A 00199.90 NP
12405 User1                A 00199.90 NP
12406 User1                A 00199.90 NP
12407 User1                A 00199.90 NP
12408 User1                A 00199.90 NP
12409 User1                A 00199.90 NP
12410 User1                A 00199.90 NP
12411 User1                A 00199.90 NP
12412 User1                A 00199.90 NP
12413 User1                A 00199.90 NP
12414 User1                A 00199.90 NP
12415 User1                A 00199.90 NP
12416 User1                A 00199.90 NP
12417 User1                A 00199.90 NP
12418 User1                A 00199.90 NP
12419 User1                A 00199.90 NP
12420 User1                A 00199.90 NP
12421 User1                A 00199.90 NP
12422 User1                A 00199.90 NP
12423 User1                A 00199.90 NP
12424 User1                A 00199.90 NP
12425 User1                A 00199.90 NP
12426 User1                A 00199.90 NP
12427 User1                A 00199.90 NP
12428 User1                A 00199.90 NP
00000 END_OF_FILE          A 00000.00 NP
